Nematomorpha | Gordioidea | - | Gordioida | - | - | - | - | --
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine persephone

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine reyesi

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine rubra

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine specum
Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine specum specum

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine subterranea mitchelli

Arthropoda | Insecta | - | Coleoptera | - | - | Carabidae | - | Rhadine subterranea subterranea

Arthropoda | Insecta | - | Coleoptera | - | - | Cleridae | - | --
Arthropoda | Insecta | - | Coleoptera | - | - | Cleridae | - | Cymatodera sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Corylophidae | - | --

Arthropoda | Insecta | - | Coleoptera | - | - | Cerambycidae | - | --
Arthropoda | Insecta | - | Coleoptera | - | - | Cerambycidae | - | Euderces sp.
Arthropoda | Insecta | - | Coleoptera | - | - | Cerambycidae | - | Parmenonta minor
Arthropoda | Insecta | - | Coleoptera | - | - | Cerambycidae | - | Stenelytrana sp.

Arthropoda | Insecta | - | Coleoptera | - | - | Coccinellidae | - | --
Arthropoda | Insecta | - | Coleoptera | - | - | Coccinellidae | - | Olla abdominalis
